,"Education, Skills and Training domain 2012 rank1","People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)",,,,,,
Aberdeen City,3535.29213483146,7.13354400749064,,,,,,
Aberdeenshire,4137.90033222591,5.08534053156146,,,,,,
Angus,3662.93661971831,8.6487676056338,,,,,,
Argyll & Bute,3824.7868852459,8.02612704918033,,,,,,
Clackmannanshire,3220.671875,12.1728515625,,,,,,
Eilean Siar,3838.77777777778,5.47395833333333,,,,,,
Dumfries & Galloway,3551.59067357513,8.66288860103627,,,,,,
Dundee City,2635.37430167598,12.7475558659218,,,,,,
East Ayrshire,2550.4025974026,11.7055600649351,,,,,,
East Dunbartonshire,4906.00787401575,5.62057086614173,,,,,,
East Lothian,3778.51666666667,9.21848958333333,,,,,,
East Renfrewshire,5427.55833333333,5.29635416666667,,,,,,
"Edinburgh, City of ",3852.62112932605,8.00503756830601,,,,,,
Falkirk,3131.78680203046,9.87595177664975,,,,,,
Fife,3045.57174392936,10.1145143487859,,,,,,
Glasgow City,2057.90201729107,12.6633645533141,,,,,,
Highland,3413.14383561644,8.39704623287671,,,,,,
Inverclyde,2868.39090909091,10.8522727272727,,,,,,
Midlothian,3117.66964285714,10.9213169642857,,,,,,
Moray,3721.06034482759,7.92025862068965,,,,,,
North Ayrshire,2869.35754189944,12.2046089385475,,,,,,
North Lanarkshire,2341.48564593301,12.4530502392345,,,,,,
Orkney Islands,3649.62962962963,6.15740740740741,,,,,,
Perth & Kinross,3895.60571428571,7.13785714285714,,,,,,
Renfrewshire,3349.02336448598,10.652453271028,,,,,,
Scottish Borders,3664.58461538462,8.52259615384615,,,,,,
Shetland Islands,4164.26666666667,5.36875,,,,,,
South Ayrshire,3405.97278911565,10.1041666666667,,,,,,
South Lanarkshire,3113.28894472362,10.5623429648241,,,,,,
Stirling,3665.61818181818,7.515625,,,,,,
West Dunbartonshire,2589.72881355932,12.25,,,,,,
West Lothian,3272.1990521327,9.99155805687204,,,,,,