,Employment domain 2012 rank,Employment domain 2012 rate (%),,,,,,
Aberdeen City,4174.65168539326,9.31835205992509,,,,,,
Aberdeenshire,4815.43853820598,6.75415282392027,,,,,,
Angus,3642.07042253521,10.7183098591549,,,,,,
Argyll & Bute,3608.31967213115,11.2131147540984,,,,,,
Clackmannanshire,2600.203125,16.046875,,,,,,
Eilean Siar,3403.38888888889,10.6388888888889,,,,,,
Dumfries & Galloway,3352.51813471503,11.7512953367876,,,,,,
Dundee City,2350.67597765363,17.9162011173184,,,,,,
East Ayrshire,2536.12987012987,16.3506493506494,,,,,,
East Dunbartonshire,4444.62204724409,8.37007874015748,,,,,,
East Lothian,3623.46666666667,10.725,,,,,,
East Renfrewshire,4503.91666666667,8.41666666666667,,,,,,
"Edinburgh, City of ",4173.22222222222,9.78142076502732,,,,,,
Falkirk,2943.2385786802,14.1218274111675,,,,,,
Fife,3110.1766004415,13.5011037527594,,,,,,
Glasgow City,2066.33429394813,20.3616714697406,,,,,,
Highland,3754.59589041096,10.3356164383562,,,,,,
Inverclyde,2152.5,19.2272727272727,,,,,,
Midlothian,3238.80357142857,12.2321428571429,,,,,,
Moray,3965.12068965517,9.18103448275862,,,,,,
North Ayrshire,2429.22346368715,17.340782122905,,,,,,
North Lanarkshire,2306.73923444976,17.1435406698565,,,,,,
Orkney Islands,4603.48148148148,7.07407407407407,,,,,,
Perth & Kinross,4264.22857142857,8.61142857142857,,,,,,
Renfrewshire,2852.78971962617,15.7383177570093,,,,,,
Scottish Borders,3795.54615384615,10,,,,,,
Shetland Islands,4748.9,6.63333333333333,,,,,,
South Ayrshire,3202.36734693878,13.2517006802721,,,,,,
South Lanarkshire,2923.3216080402,14.2386934673367,,,,,,
Stirling,3760.19090909091,10.9818181818182,,,,,,
West Dunbartonshire,2138.49152542373,18.0169491525424,,,,,,
West Lothian,3158.28436018957,12.9099526066351,,,,,,