,Income domain 2012 rank,Income domain 2012 rate (%),,,,,,
Aberdeen City,4215.62172284644,9.29213483146067,,,,,,
Aberdeenshire,4699.94019933555,6.95681063122924,,,,,,
Angus,3593.45070422535,11.3450704225352,,,,,,
Argyll & Bute,3668.55737704918,11.2131147540984,,,,,,
Clackmannanshire,2757.203125,16.109375,,,,,,
Eilean Siar,3028.91666666667,12.6111111111111,,,,,,
Dumfries & Galloway,3264.33160621762,12.6632124352332,,,,,,
Dundee City,2470.41340782123,18.4301675977654,,,,,,
East Ayrshire,2557.65584415584,17.1883116883117,,,,,,
East Dunbartonshire,4575.63779527559,7.8503937007874,,,,,,
East Lothian,3649.275,11.0083333333333,,,,,,
East Renfrewshire,4587.59166666667,7.95833333333333,,,,,,
"Edinburgh, City of ",3990.2058287796,10.5555555555556,,,,,,
Falkirk,3151.91878172589,13.7208121827411,,,,,,
Fife,3168.53200883002,13.8344370860927,,,,,,
Glasgow City,1922.93083573487,22.0533141210375,,,,,,
Highland,3686.33219178082,10.8047945205479,,,,,,
Inverclyde,2373.80909090909,18.7636363636364,,,,,,
Midlothian,3308.70535714286,12.4464285714286,,,,,,
Moray,3803.20689655172,9.92241379310345,,,,,,
North Ayrshire,2408.15083798883,18.2178770949721,,,,,,
North Lanarkshire,2451.59090909091,17.4210526315789,,,,,,
Orkney Islands,4421.81481481481,7.59259259259259,,,,,,
Perth & Kinross,4156.83428571429,8.97142857142857,,,,,,
Renfrewshire,3066.63551401869,15.3224299065421,,,,,,
Scottish Borders,3692.52307692308,10.5846153846154,,,,,,
Shetland Islands,4676.4,6.66666666666667,,,,,,
South Ayrshire,3247.93197278912,13.3945578231293,,,,,,
South Lanarkshire,3030.3391959799,14.3869346733668,,,,,,
Stirling,3863.72727272727,10.6545454545455,,,,,,
West Dunbartonshire,2129.12711864407,19.1610169491525,,,,,,
West Lothian,3182.11374407583,13.2938388625592,,,,,,